iter	Passed	Remaining
401	17434	4250
402	17474	4206
403	17515	4162
404	17555	4117
405	17593	4073
406	17632	4029
407	17670	3984
408	17712	3940
409	17751	3896
410	17791	3852
411	17825	3807
412	17869	3764
413	17906	3719
414	17946	3675
415	17982	3631
416	18021	3586
417	18064	3543
418	18104	3499
419	18139	3455
420	18178	3411
421	18216	3367
422	18264	3324
423	18301	3280
424	18340	3236
425	18380	3192
426	18418	3148
427	18454	3104
428	18493	3060
429	18533	3017
430	18570	2972
431	18610	2929
432	18654	2886
433	18695	2843
434	18735	2799
435	18774	2755
436	18815	2712
437	18855	2669
438	18898	2625
439	18934	2582
440	18971	2538
441	19014	2495
442	19056	2451
443	19096	2408
444	19138	2365
445	19174	2321
446	19216	2278
447	19257	2235
448	19293	2191
449	19340	2148
450	19384	2106
451	19420	2062
452	19459	2018
453	19502	1976
454	19544	1933
455	19587	1890
456	19626	1846
457	19665	1803
458	19701	1759
459	19740	1716
460	19780	1673
461	19817	1630
462	19857	1586
463	19898	1543
464	19935	1500
465	19978	1457
466	20021	1414
467	20066	1372
468	20103	1328
469	20140	1285
470	20182	1242
471	20220	1199
472	20260	1156
473	20302	1113
474	20341	1070
475	20378	1027
476	20420	984
477	20460	941
478	20502	898
479	20540	855
480	20576	812
481	20616	769
482	20651	726
483	20688	683
484	20731	641
485	20773	598
486	20816	555
487	20856	512
488	20893	470
489	20933	427
490	20975	384
491	21014	341
492	21059	299
493	21099	256
494	21140	213
495	21176	170
496	21213	128
497	21258	85
498	21297	42
499	21339	0
